,app-title,location,content
26,Field Manager,"
      Seattle
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As Field Manager, you’ll be responsible for launching and growing Via's innovative ridesharing technology in Seattle. You’ll manage daily operations while driving continuous improvement and growth of the service.
Responsibilities and Duties

Ensure operational excellence, customer satisfaction, and an unbelievable product every day
Be the face of Via Seattle; develop relationships with driver partners, key players, and local brands
Prioritize operational issues as a real-time point of contact and provide creative solutions
Tirelessly work to scale operational processes and systems to drive rapid growth

Qualifications

An independent, enterprising self-starter who is comfortable taking on a high level of responsibility
A detail-oriented executor: you’re obsessively action-oriented
Outgoing and sociable; willing to wear multiple hats and work on projects of all types
Skilled at communicating professionally with customers and driver partners from a broad range of backgrounds (Spanish is a plus)
Have a Bachelor's Degree and prior employment experienc
Physical abilities.

Commitment: This is a full-time contract role for one year, with the possibility to extend beyond based on availability & performance. This position is based in Seattle, WA.
 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
27,General Manager,"
      Los Angeles
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As Via’s West Coast General Manager of Partner Cities, you won’t be working from an expansion playbook – you’ll be writing it. The GM role requires a combination of intelligence, creativity, and leadership that few possess. This is an opportunity for a truly outstanding entrepreneur to shape the operation of our game-changing service. You’ll need to be a consummate marketer, an operations workhorse, and an exceptionally creative problem solver.
Responsibilities and Duties

Manage Via’s revolutionary mobility solution in West Coast partner cities, including deployments with LA Metro, King County (Seattle), West Sacramento, and beyondOwn ongoing operational execution and P&L for local partner markets, tirelessly working to scale processes and systems to drive rapid growth
Work closely with Via’s General Manager of Partner Cities and the Via operations, marketing, and technology development teams to define, coordinate, and oversee all logistical and technical aspects of service development
Manage product expectations and development, working with our engineering team to distill requests and ideas into actionable next steps and technology features
Leverage your understanding of Via’s capabilities to inform the ongoing development of our expansion strategy 
Ensure operational excellence, customer satisfaction, and an unbelievable product every day
Develop positive relationships with stakeholders and partners; foster a collaborative, cohesive, and energetic local presence
Be the face of Via West Coast; develop relationships with policy makers, key players, and local partners 

Qualifications

An independent self-starter: you thrive in fast-paced environments and feel comfortable with a very high level of responsibility
A savvy and tactful communicator: you intuitively find the right tone in every situation and can work effectively with city partners
A no-nonsense thinker: you have sound business sense and make data-driven decisions
A detail-oriented executor: you’re obsessively action-oriented
An exceptional leader: people love working with you and for you
A preternatural entrepreneur: you’re excited to build services from the ground up and shape the strategic direction of our company
Have an exceptional academic record and prior employment experience
Have a Bachelor’s Degree from a top-tier university (MBA a plus) and a record of exceptional academic achievement (minimum GPA of 3.5/4.0)

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
28,Launch Marketing Manager (Contractor),"
      Los Angeles
    ","
“Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.”
Job Overview
As a launch marketing manager, you will lead the local marketing and outreach efforts for an upcoming pilot with the Los Angeles Metro Authority. Your role will be to drive local awareness and word of mouth spread of the new service through outreach to stakeholder groups, partnerships with local businesses, and targeted street marketing campaigns. This position plays a critical role in establishing awareness of the service from day one and to build ridership within the early months of the pilot. This is a 3-4 month temporary role with the potential to turn into a long term position subject to performance and need.
Responsibilities and Duties

Recruit and manage targeted street marketing teams. Coordinate with the Via City management team to evaluate and manage the success of the street marketing teams.
Identify and develop partnership opportunities with local businesses.
Organize and conduct meetings and events with local stakeholders to build awareness of the service before and during launch.
Help identify and manage local PR opportunities.

Qualifications

Several years of experience with grassroots marketing and/or brand ambassador campaigns.
Creative, independent, enterprising, and a self-starter who is comfortable taking on a high level of responsibility
Extraordinary communicator with demonstrated writing and editing skills
Experience with multiple ad platforms (Facebook, Twitter, Google AdWords), SEO, content marketing, mobile marketing platforms, and mobile analytics is preferred

"
29,Micro Mobility Principal,"
      New York
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As a Micro Mobility Principal, you will define and execute all aspects of Via’s shared electric scooter and electric bike strategy and expansion. You will manage and scale strategic partnerships, work very closely with our tech team to create new micro mobility products and help expand Via’s solution to existing and new markets.
Responsibilities and Duties

Own, define and grow micro mobility product lines, adjacent to Via’s core where the cutting edge technology can be leveraged to revolutionize transit
Expand micro mobility products to new markets and manage operations to optimize service for profitability
Conduct extensive product, market, competition and obstacle analysis for new areas of transportation where sharing can bring about significant change
Manage and develop client relationships from the close of a new deal through the launch and ongoing execution of service, translating a business agreement into a fully operational transit system
Work closely with Via’s product and tech teams in Tel Aviv to drive the end to end creation of new Mobility products

Qualifications

Detail-oriented and thorough; you’re a proactive self-starter who is able to effectively juggle multiple projects in a highly fluid work environment
Thrive in fast-paced environments, troubleshooting issues in real-time and overseeing multiple tasks simultaneously
A strong executor, you get the job done while keeping the big picture firmly in mind
A savvy and tactful communicator with experience managing complex business relationships; you intuitively find the right tone and feel comfortable working with people from a wide range of backgrounds
Experience defining, specifying and executing the creation of cutting edge technology products & services is a plus
Enjoy travel and are excited by the dynamic and mobile nature of this position
Have a Bachelor’s Degree from a top-tier university (MBA a plus) and a record of exceptional academic achievement (minimum GPA of 3.5/4.0)

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
30,ViaVan Expansion Associate - London,"
      London
    ","
Via, the world’s leading on-demand shared rides technology developer and provider, and Daimler (Mercedes-Benz), the world’s preeminent automotive company, have launched ViaVan, a joint venture to transform the way people move around cities. ViaVan will launch on-demand shared mobility services in Europe using Via’s revolutionary technology and lead the cooperation to design and build transformative mobility technology with both the Via and Mercedes-Benz Vans teams.
Job Overview
As an Expansion Associate, you will launch new Via markets around the world and ensure the success of the day-to-day management of our partner deployments, while gaining exposure to operations, entrepreneurship, product and business development.
Responsibilities and Duties

Contribute to the strategic decision-making, rigorous project planning, and entrepreneurial approach required to set up Via operations in a new market
Serve as the main point of contact for our partners, helping them develop and grow a fully operational on-demand transit system
Manage product expectations and development, ensuring that our engineering team is getting the feedback they need to build the best product possible
Tap Via’s in-house operational and marketing knowledge base to help partners get the most out our technology
Adeptly interpret and utilize mass quantities of proprietary data to generate insights and make business recommendations that will ensure success for our partner services

Qualifications

Effective at managing multiple tasks simultaneously and comfortable taking on responsibility
Meticulous and vigilant, with a high level of attention to detail
Problem solver; you don’t accept the status quo and are always looking for creative solutions
Excellent communicator with a knack for always finding the right tone
Have a Bachelors Degree from a top-tier university and a record of exceptional academic achievement (minimum GPA of 3.5/4.0)
Demonstrated record of entrepreneurial achievement and/or leadership a plus

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
31,ViaVan Expansion Principal - Berlin,"
      Berlin
    ","
Via, the world’s leading on-demand shared rides technology developer and provider, and Daimler (Mercedes-Benz), the world’s preeminent automotive company, have launched ViaVan, a joint venture to transform the way people move around cities. ViaVan will launch on-demand shared mobility services in Europe using Via’s revolutionary technology and lead the cooperation to design and build transformative mobility technology with both the Via and Mercedes-Benz Vans teams.
Job Overview
As an Expansion Principal, you will plan and oversee the launch of new Via markets throughout the world. You'll also lead the deployment of Via's game-changing technology in partnerships with cities, public transit agencies, corporations, colleges, and other transportation providers.
Responsibilities and Duties

Define, coordinate, and oversee all logistical and technical aspects of launching Via’s revolutionary mobility solution in new markets, working closely with Via’s operations, marketing, and technology development teams
Manage and develop client relationships from the close of a new deal through the launch, translating a business agreement into a fully operational on-demand transit system
Lead quality assurance and testing efforts for all of our new projects to ensure an exceptional live service from day one, and provide ongoing support as needed to enable and promote project success
Own ongoing operational execution and P&L for partner markets, tirelessly working to scale processes and systems to drive rapid growth
Manage product expectations and development, working with our engineering team to distill requests and ideas into actionable next steps and technology features
Leverage your understanding of Via’s capabilities to inform the ongoing development of our expansion strategy

Qualifications

Detail-oriented and thorough; you’re a proactive self-starter who is able to effectively juggle multiple projects in a highly fluid work environment
Thrive in fast-paced environments, troubleshooting issues in real-time and overseeing multiple tasks simultaneously
A strong executor, you get the job done while keeping the big picture firmly in mind
A savvy and tactful communicator with experience managing complex business relationships; you intuitively find the right tone and feel comfortable working with people from a wide range of backgrounds
Enjoy travel and are excited by the dynamic and mobile nature of this position
Have a Bachelor’s Degree from a top-tier university (MBA a plus) and a record of exceptional academic achievement (minimum GPA of 3.5/4.0)
Fluent in German

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
32,ViaVan Expansion Principal - London,"
      London
    ","
Via, the world’s leading on-demand shared rides technology developer and provider, and Daimler (Mercedes-Benz), the world’s preeminent automotive company, have launched ViaVan, a joint venture to transform the way people move around cities. ViaVan will launch on-demand shared mobility services in Europe using Via’s revolutionary technology and lead the cooperation to design and build transformative mobility technology with both the Via and Mercedes-Benz Vans teams.
Job Overview
As an Expansion Principal, you will plan and oversee the launch of new Via markets throughout the world. You'll also lead the deployment of Via's game-changing technology in partnerships with cities, public transit agencies, corporations, colleges, and other transportation providers.
Responsibilities and Duties

Define, coordinate, and oversee all logistical and technical aspects of launching Via’s revolutionary mobility solution in new markets, working closely with Via’s operations, marketing, and technology development teams
Manage and develop client relationships from the close of a new deal through the launch, translating a business agreement into a fully operational on-demand transit system
Lead quality assurance and testing efforts for all of our new projects to ensure an exceptional live service from day one, and provide ongoing support as needed to enable and promote project success
Own ongoing operational execution and P&L for partner markets, tirelessly working to scale processes and systems to drive rapid growth
Manage product expectations and development, working with our engineering team to distill requests and ideas into actionable next steps and technology features
Leverage your understanding of Via’s capabilities to inform the ongoing development of our expansion strategy

Qualifications

Detail-oriented and thorough; you’re a proactive self-starter who is able to effectively juggle multiple projects in a highly fluid work environment
Thrive in fast-paced environments, troubleshooting issues in real-time and overseeing multiple tasks simultaneously
A strong executor, you get the job done while keeping the big picture firmly in mind
A savvy and tactful communicator with experience managing complex business relationships; you intuitively find the right tone and feel comfortable working with people from a wide range of backgrounds
Enjoy travel and are excited by the dynamic and mobile nature of this position
Have a Bachelor’s Degree from a top-tier university (MBA a plus) and a record of exceptional academic achievement (minimum GPA of 3.5/4.0)

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
33,Payroll Manager,"
      New York
    ","
Job Overview
As Payroll Manager, you will support and manage all aspects of the employee payroll process from preparation, records maintenance, and monthly reporting. You will help shape the payroll function of a rapidly expanding organization both domestically and in new international markets.
Responsibilities and Duties
 

Process bi-weekly and semi-monthly payroll for Via’s US subsidiaries. In doing so, work closely with the People Operations team to ensure accurate and timely reflection of payroll changes.
Liaise with site managers to ensure timely review and approval of hourly employee time sheets. Manage the process of accurate transfer of time sheet information into our payroll systems.
Work in tandem with our payroll provider to understand tax requirements for new jurisdictions, changes in wage and tax laws, and other regulatory changes that may impact Via payroll. You will be the primary lead in setting up new payroll tax accounts for Via’s expansion cities and states.
Perform periodic audits of the payroll system data to ensure accuracy of employee pay information. Design and implement process improvements and internal controls to the payroll process.
Lead all aspects of the monthly financial reporting process as it relates to payroll related items. Produce additional reporting as needed for other internal and external reporting purposes on employee headcount and payroll related information.
Work closely with Finance, Legal, and People Ops to identify partners, and implement payroll processes and systems for new international markets.
In performing the above, exercise the highest degree of confidentiality relative to all payroll information and employee privacy initiatives.

 
 
Qualifications

3-5 years of relevant payroll experience
Passionate about improving processes and developing innovative solutions
Proven excellence in developing / revamping internal operations
Mature, reliable, able to make independent decisions, and to juggle multiple tasks effectively
Have a strong sense of ownership; you don’t shy away from the details and you’re committed to completing each task with a high degree of accuracy
Tech savvy, with a strong understanding of the landscape of HRIS systems and proficiency in advanced Microsoft Excel skills
Bachelor’s Degree with a strong academic record.


 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
34,ViaVan Accounting Associate,"
      Amsterdam
    ","
Job Overview
As Accounting Associate, you will be involved in some of the most critical aspects of the finance and accounting functions at our ViaVan European headquarters in Amsterdam.
Responsibilities and Duties

Have significant responsibility related to the finance and accounting projects across ViaVan’s operations throughout Europe. You’ll develop a unique knowledge and understanding of the business
Have significant responsibility related to all aspects of the monthly close.  You’ll work closely with other members of the finance team to ensure accurate and timely reporting that will help efficient decision-making at the management and operational level
Lead the weekly payables process: Pro-actively coordinate with vendors to maintain an accurate and timely pay cycle and monitor the overall treasury functions in Europe.
You’ll be involved in scaling up the Company’s systems and processes. You’ll take a large role in ensuring compliance and optimization of accounting and tax structures in the countries in which ViaVan operates
Work cross-functionally with operations, growth, data, and partnership teams to understand the implications of new business initiatives and assist in the development of adequate reporting 
Assist in the documentation and implementation of organization wide control processes for various functions
Liase with external audit and tax advisors as it relates to financial reporting, VAT, and other corporate tax compliance requirements.  You’ll quickly become knowledgeable on country level reporting and tax requirements and deadlines, and lead many of the efforts to maintain ViaVan’s compliance in different countries

Qualifications

Independent, self-starter who is comfortable taking on significant responsibility
Organized with an ability to multitask and work under deadlines
Have a strong sense of ownership; you don’t shy away from the details and you’re committed to completing each task with a high degree of accuracy
Have at least a Bachelor’s Degree in accounting, finance or related field, and a record of exceptional academic achievement
Several years of experience working in a professional accounting or tax role 
Experience with NetSuite / ERP systems and local VAT compliance throughout the UK and EU is a plus

 ViaVan offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 ViaVan is an equal opportunity employer.
"
35,ViaVan Accounting Associate - Berlin,"
      Berlin
    ","
Job Overview
Via, the world’s leading on-demand shared rides technology developer and provider, and Daimler (Mercedes-Benz), the world’s preeminent automotive company, have launched ViaVan, a joint venture to transform the way people move around cities. ViaVan is launching on-demand shared mobility services in Europe using Via’s revolutionary technology and leads the cooperation to design and build transformative mobility technology with both the Via and Mercedes-Benz Vans teams. In Berlin we have launched BerlKönig together with our partners from BVG, Berlin’s public transport agency. Our service here is the largest public sector deployment of an on-demand shuttle service anywhere in the world.
As Accounting Associate based in Berlin, you will be involved in some of the most critical aspects of the finance and accounting functions at ViaVan and you will be part of the team that manages the world's largest on-demand public transit service. 
Responsibilities

Have significant responsibility related to the finance and accounting projects across ViaVan’s operations throughout Europe with a focus on Germany. You’ll develop a unique knowledge and understanding of the business
Have significant responsibility related to all aspects of the monthly close. You’ll work closely with other members of the finance team to ensure accurate and timely reporting that will help efficient decision-making at the management and operational level
Lead the weekly payables process for the Berlin operations: Pro-actively coordinate with driver partners and vendors to maintain an accurate and timely pay cycle and monitor the overall treasury functions in Germany
You’ll be involved in helping scale up the Company’s systems and processes. You’ll take a large role in ensuring compliance and optimization of accounting and tax structures in the countries in which ViaVan operates with a clear responsibility for our German entities.
Work cross-functionally with operations, growth, data, and partnership teams to understand the implications of new business initiatives and assist in the development of adequate reporting
Assist in the documentation and implementation of organization wide control processes for various functions
Liase with external audit and tax advisors as it relates to financial reporting, VAT, and other corporate tax compliance requirements.  You’ll quickly become knowledgeable on country level reporting and tax requirements and deadlines, and lead many of the efforts to maintain ViaVan’s compliance in Germany

Qualifications

Independent, self-starter who is comfortable taking on significant responsibility
Organized with an ability to multitask and work under deadlines
Have a strong sense of ownership; you don’t shy away from the details and you’re committed to completing each task with a high degree of accuracy
Have at least a Bachelor’s Degree in accounting, finance or related field, and a record of exceptional academic achievement
Several years of experience working in a professional accounting or tax role in Germany
Fully fluent in German and English 
Experience with NetSuite / ERP systems and tax/local VAT compliance in Germany is a plus

We will:

Invest in your professional development and continued success
Create a customized selection of projects that will expand your skill set and enable you to grow as a finance professional
Propel you to the next stage of your career

 ViaVan offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 ViaVan is an equal opportunity employer.
"
36,Executive Assistant,"
      New York
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As an Executive Assistant, you will be reliable, detail- and task-oriented. The Executive Assistant will work directly with C-level executives and will be responsible for performing a number of administrative duties. The ideal candidate is self-motivated, professional, and capable of managing their work load and prioritizing tasks in a fast-paced startup environment. 
Responsibilities:

Coordinate executive communications, including taking calls, responding to emails and interfacing with internal and external employees and clientele 
Prepare internal and external documents for team members and industry partners
Schedule and prioritize meetings  and manage travel itineraries
Arrange external events, such as client dinners, conferences, etc. 
Uphold the strictest level of confidentiality
Develop professional relationships with all staff and clientele
Seamlessly manage inboxes, calendars, and contacts

Qualifications:

Must have 2-3 years of relevant experience. 
Proficient in Google Suite and Microsoft Office. Familiarity with DocuSign and Abacus a plus. 
Master collaborator and delegator
Exceptional interpersonal skills  
Friendly and professional demeanor
Excellent, clear and polite communicator – In writing and in person 
Killer organizational skills
Ability to multi-task in a fast-paced startup
Comfortable dealing with colleagues in multiple time zones

Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
Via is an equal opportunity employer.
"
37,Human Resources Business Partner,"
      New York
    ","
Job Overview
As a Via Human Resources Business Partner you will support the Via employee population in a variety of People Operations functions including but not limited to onboarding new hires, supporting continuous employee development, implementing new company policies and maintaining internal People Ops systems. Ultimately, you will ensure our People Ops initiatives are cost-effective, run smoothly and contribute to a healthy work environment.
Responsibilities and Duties

Contribute towards the achievement of company’s strategic and operational objectives
Monitor internal HR systems and databases
Implement and champion company policies
Implement functional HRMS and internal databases across all departments and locations
Oversee our payroll and performance evaluation systems
Review and update our employment contracts and agreements
Track key HR metrics like cost per hire and retention rates
Measure the effectiveness of our benefits programs and recommend improvements
Assist with the recruitment and onboarding of new employees
Coordinate employee training and development initiatives
Ensure our record-keeping and data processing procedures comply with GDPR requirements

Qualifications

3-7 years’ HR / People Operations experience, preferably with a startup company
Adequate knowledge of organizational effectiveness and operations management
Familiarity with business and financial principles and practices
Strong Knowledge of Excel, Google Calendar and other basic IT skills
Ability to effectively communicate with all levels of the organization
Exceptional multitasking and organizational skills
Proven work experience in an HR Operations or similar role
Good knowledge of labor laws
Experience designing compensation and benefits packages
Ability to develop clear and fair company policies
Excellent analytical and decision-making abilities
Good knowledge of labor legislation
Experience in designing compensation and benefits programs
Experience with Human Resources Information Systems including payroll tools
BS in Human Resources Management or related field; MS is a plus

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
38,Human Resources Generalist,"
      Lehi, UT
    ","
Job Overview
As Human Resources Generalist, you will serve as the People lead in our Lehi, UT location.
Responsibilities and Duties

Provide day-to-day operational support to employees and managers with organizational and People initiatives, queries, and issues, working closely with the New York City People team
Maintain employee records in our PEO system and update payroll and benefit information as needed
Onboarding of new employees: both design and implementation
Manage all compliance related activities including background checks, I9 verifications, workers’ compensation, and audits related to all statutory and legal requirements
Ensure all people processes and programs developed are in alignment with the company’s core values and culture
Assist in reviewing people data to develop key metrics and measure employee engagement and retention
Champion the Via service, brand, and culture

Qualifications

4-8 years of experience in HR and recruitment
Reliable, mature, and able to juggle multiple tasks effectively
A deep and wide background in employee relations and HR processes
A tactful, and graceful communicator – you intuitively find the right tone in every situation and are natural at collaborating
Tech savvy, with a strong understanding of the landscape of HR and recruitment products
A natural collaborator who can quickly integrate well across all functions
Experience with change management
Bachelor’s Degree with a strong academic record

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
39,Junior Recruiter,"
      New York
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As a Junior Recruiter, you will find and attract talent for Via, introducing candidates to our ground-breaking company and guiding them through the hiring process. 
Responsibilities:

Manage the full-cycle recruitment process from sourcing to offer
Source candidates from top talent pools using a variety of innovative strategies
Source and manage outside vendors & agencies to assist in the achievement of aggressive hiring goals
Manage job postings on internal and external sites
Keep candidates up-to-date and informed throughout the hiring process
Use analytics to inform recruiting goals, methods, and protocol
Develop and continuously improve Via’s internal hiring process, from job posting through offer letter
Believe in and champion the Via service, brand, and culture

Qualifications:

2+ years’ experience recruiting
Reliable, independent, and able to juggle multiple tasks effectively
A savvy, tactful, and graceful communicator – you intuitively find the right tone in every situation
Exceptionally organized, never letting anything fall through the cracks
Knowledgeable about start-up culture and excited by quick growth
Bachelor’s Degree and a record of exceptional academic achievement

Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
Via is an equal opportunity employer.
"
40,Recruiting Coordinator,"
      New York
    ","
Job Overview
As Recruiting Coordinator, you will serve as primary point of contact for candidates interviewing at Via and ensure the full candidate experience runs smoothly.
Responsibilities:

Correspond with candidates throughout the interview process, including scheduling phone screens, arranging and booking candidate travel, and organizing in-house interviews
Prepare Via’s team before all interviews and promptly gather and share feedback with hiring managers
Serve as primary point-of-contact for visitors to Via’s office, greeting them and alerting the appropriate Via staff of their arrival
Anticipate conference room needs and ensure that resources are booked for in-house interviews
Debrief candidates after their interview(s) and field logistical questions as needed
Correspond with candidates and provide email updates
Source resumes from a variety of recruiting platforms (underdog, Vettery, Planted)

You:

Reliable, independent, and able to juggle multiple tasks effectively
1+ year of successful experience as an agency recruiter or as a recruiting coordinator in a fast paced or high volume environment
Exceptionally organized, never letting anything fall through the cracks
Have a Bachelors Degree

Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
Via is an equal opportunity employer.
"
41,Senior Recruiter,"
      New York
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As a Senior Recruiter, you will find and attract top talent for Via, introducing candidates to our groundbreaking company and guiding them through the hiring process. This role will partner with hiring managers across the organization to identify exceptional talent while also owning recruitment related projects.
Responsibilities:

Manage the full-cycle recruitment process for requisitions from sourcing to offer
Source candidates from top talent pools using a variety of innovative strategies
Source and manage outside vendors & agencies to assist in the achievement of aggressive hiring goals
Manage job postings on internal and external sites
Keep candidates up-to-date and informed throughout the hiring process
Use analytics to inform recruiting goals, methods, and protocol
Develop and continuously improve Via’s internal hiring process, from job posting through offer letter
Believe in and champion the Via service, brand, and culture

Qualifications:

5+ years’ recruitment experience
Reliable, independent, and able to juggle multiple tasks effectively
A savvy, tactful, and graceful communicator – you intuitively find the right tone in every situation
Exceptionally organized, never letting anything fall through the cracks
Knowledgeable about start-up culture and excited by quick growth
Bachelor’s Degree and a record of exceptional academic achievement

Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
Via is an equal opportunity employer.
"
42,ViaVan Human Resources Principal - London,"
      London
    ","
Job Overview
Via, the world’s leading on-demand shared rides technology developer and provider, and Daimler (Mercedes-Benz), the world’s preeminent automotive company, have launched a joint venture to transform the way people move around cities. This joint venture will launch on-demand shared mobility services in Europe using Via’s revolutionary technology and lead the cooperation to design and build transformative mobility technology with both the Via and Mercedes-Benz Vans teams.
As a Human Resources Principal, you’ll help lay the groundwork for the joint venture's people strategy and programs. You will be an expert on talent acquisition, employee relations, HR compliance and performance management.
Responsibilities and Duties

Help develop processes, policies, and systems related to employment, including performance management, interview process, compensation, and employee training and development
Champion the joint venture’s values and culture across multiple office locations as we rapidly scale our operations in Europe
Provide guidance, support, and training to all managers, helping to build and retain strong teams across the organization
Oversee the management and compliance of benefit programs, immigration procedures, employee onboarding and offboarding, and employment documentation
Provide direction and strategic leadership for the company’s European hiring, including direct assistance with critical senior hires, and ownership of strategic planning and employment brand

Qualifications

A savvy and tactful communicator: you intuitively find the right tone in every situation
Enjoy taking charge; willing to wear multiple hats and work on projects of all types
A problem solver: you never accept the status quo and are always looking for creative solutions
A no-nonsense thinker: you have sound business sense and make data-driven decisions
A shape-shifter: you’re comfortable jumping into multiple types of projects across the company
A forward-thinker: you can tackle issues in the moment while still anticipating future needs
An extremely quick study: you can rapidly pick up unfamiliar material and participate as an equal in discussions with subject-matter experts
BA or equivalent from a top-tier university; 5+ years of experience in similar roles
Excited by start-up culture, workspace, and development
Fluency in English a must; additional EU languages a plus
Experience with startups is a bonus but not required
Based in, or willing to relocate to, London or Amsterdam

 ViaVan offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 ViaVan is an equal opportunity employer.
"
43,Business Operations Associate,"
      New York
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Summary: 
As Business Operations Associate, you will help set up and run systems for Via’s core business infrastructure as our global footprint expands. You will work across the entire company to help connect people, technologies, and processes to increase our efficiency.
Responsibilities and Duties:

As Via grows into new areas, help build and scale processes and infrastructure that will make us as efficient and effective as possible. 
Manage relationships with Via’s various third-party vendors and suppliers
Help our expansion efforts by standing up new Via office locations worldwide
Build and manage budgets for office build-outs and other projects 
Help the Business Operations Principal build out a centralized support function for Via’s global footprint.

Qualifications:

Have an entrepreneurial spirit and drive, and you hold very high standards. 
Enjoy building things and solving complex problems. 
Efficient at driving deadlines and keeping yourself and others on time and on topic. 
Meticulous and vigilant, with a high level of attention to detail.
… But you also have a sense of humor, and don’t always take yourself too seriously. 
Highly systems-oriented, you know how to set up a powerful and intuitive process for others to follow. 
Work well with creative thinkers and deal well with ambiguity, helping to bring structure to unstructured situations. 
Hold yourself and others accountable to excellence and constantly strive to make Via better. 
A confident self-starter who can independently run a project to successful completion.
At least 2-3 years of experience, preferably in a similar operations and/or project management role (though not required). 
Have a Bachelor’s Degree with a track record of high academic achievement

Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance. 
Via is an equal opportunity employer.
"
